city_ID,city,cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
0,esperance,83.0,AU,1586568256.0,68.0,-33.87,121.9,20.0,3.6
1,albany,40.0,US,1586568255.0,52.0,42.6,-73.97,6.0,6.7
2,airai,10.0,TL,1586568282.0,61.0,-8.93,125.41,19.44,0.73
3,port blair,89.0,IN,1586568284.0,68.0,11.67,92.75,28.1,3.58
4,avarua,100.0,CK,1586568229.0,89.0,-21.21,-159.78,29.0,3.1
5,new norfolk,75.0,AU,1586568284.0,58.0,-42.78,147.06,13.33,7.7
6,mataura,0.0,NZ,1586568231.0,50.0,-46.19,168.86,16.05,1.28
7,arroyo,90.0,ES,1586568284.0,100.0,41.61,-4.8,12.22,1.5
8,lebu,76.0,CL,1586568285.0,89.0,-37.62,-73.65,14.19,4.49
9,punta arenas,40.0,CL,1586568232.0,93.0,-53.15,-70.92,3.0,3.6
10,henties bay,16.0,NA,1586568285.0,50.0,-22.12,14.28,22.13,2.53
11,san patricio,5.0,MX,1586568121.0,78.0,19.22,-104.7,26.0,6.79
12,tuktoyaktuk,20.0,CA,1586568286.0,72.0,69.45,-133.04,-11.0,3.1
13,taolanaro,,,,,,,,
14,hobart,75.0,AU,1586568017.0,58.0,-42.88,147.33,13.33,7.7
15,ushuaia,20.0,AR,1586567992.0,60.0,-54.8,-68.3,6.0,1.5
16,vaini,20.0,TO,1586567695.0,61.0,-21.2,-175.2,27.0,3.6
17,longyearbyen,20.0,SJ,1586568287.0,76.0,78.22,15.64,-22.0,1.5
18,villa carlos paz,0.0,AR,1586568287.0,81.0,-31.42,-64.5,17.22,2.6
19,puerto ayora,20.0,EC,1586568287.0,74.0,-0.74,-90.35,28.0,1.5
20,karauzyak,,,,,,,,
21,hermanus,76.0,ZA,1586568288.0,97.0,-34.42,19.23,16.11,0.45
22,aklavik,75.0,CA,1586568288.0,45.0,68.22,-135.01,-5.0,4.6
23,chuy,0.0,UY,1586568288.0,83.0,-33.7,-53.46,16.47,2.96
24,tiksi,51.0,RU,1586568256.0,92.0,71.69,128.87,-5.02,12.09
25,kharp,99.0,RU,1586568289.0,94.0,66.8,65.81,-8.42,5.48
26,mercedes,0.0,AR,1586568239.0,96.0,-34.65,-59.43,17.22,3.37
27,ilulissat,13.0,GL,1586568289.0,58.0,69.22,-51.1,-1.0,1.5
28,belance,52.0,PH,1586568289.0,70.0,16.18,121.25,22.26,0.85
29,ancud,63.0,CL,1586568289.0,87.0,-41.87,-73.82,10.0,2.6
30,punta alta,0.0,AR,1586568230.0,58.0,-38.88,-62.07,17.2,5.49
31,illoqqortoormiut,,,,,,,,
32,rio grande,0.0,BR,1586568235.0,80.0,-32.03,-52.1,17.73,4.5
33,faanui,93.0,PF,1586568267.0,74.0,-16.48,-151.75,28.41,3.8
34,balkhash,15.0,KZ,1586568292.0,67.0,46.84,74.98,2.48,5.2
35,accra,100.0,GH,1586568006.0,81.0,5.56,-0.2,27.18,4.26
36,port-de-paix,,,,,,,,
37,atuona,55.0,PF,1586568293.0,73.0,-9.8,-139.03,28.2,4.54
38,odienne,83.0,CI,1586568293.0,64.0,9.51,-7.57,24.76,0.55
39,gari,100.0,RU,1586568293.0,83.0,59.43,62.35,2.81,5.17
40,rikitea,87.0,PF,1586568230.0,74.0,-23.12,-134.97,25.17,2.78
41,bengkulu,98.0,ID,1586568294.0,77.0,-3.8,102.27,25.74,1.83
42,geraldton,12.0,AU,1586568294.0,34.0,-28.77,114.6,29.44,2.6
43,formosa,24.0,AR,1586568294.0,77.0,-26.18,-58.18,17.0,3.1
44,hilo,90.0,US,1586568294.0,83.0,19.73,-155.09,24.0,4.1
45,yellowknife,90.0,CA,1586568233.0,62.0,62.46,-114.35,-7.0,7.2
46,gilbues,90.0,BR,1586568295.0,67.0,-9.83,-45.34,25.17,0.86
47,sur,99.0,OM,1586568295.0,52.0,22.57,59.53,27.81,3.45
