city_ID,city,cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
0,vaini,20.0,TO,1586574068.0,65.0,-21.2,-175.2,80.6,8.05
1,new norfolk,75.0,AU,1586574069.0,58.0,-42.78,147.06,57.0,17.22
2,dikson,91.0,RU,1586574069.0,95.0,73.51,80.55,10.15,11.01
3,chokurdakh,39.0,RU,1586574069.0,96.0,70.63,147.92,24.96,15.99
4,katsuura,20.0,JP,1586574070.0,44.0,35.13,140.3,62.01,9.17
5,yellowknife,75.0,CA,1586574016.0,72.0,62.46,-114.35,17.6,10.29
6,kruisfontein,25.0,ZA,1586574070.0,52.0,-34.0,24.73,56.91,5.3
7,luderitz,0.0,NA,1586574070.0,82.0,-26.65,15.16,55.4,2.24
8,nikolskoye,75.0,RU,1586574071.0,96.0,59.7,30.79,32.0,11.18
9,baherden,83.0,TM,1586574071.0,58.0,38.44,57.43,56.91,3.04
10,taoudenni,0.0,ML,1586574071.0,14.0,22.68,-3.98,80.58,6.33
11,lebowakgomo,62.0,ZA,1586574071.0,87.0,-24.2,29.5,57.2,4.7
12,khani,90.0,GE,1586574071.0,93.0,41.96,42.96,48.2,3.36
13,college,90.0,US,1586574072.0,74.0,64.86,-147.8,39.2,9.17
14,thompson,90.0,CA,1586574072.0,58.0,55.74,-97.86,30.2,2.24
15,cayenne,95.0,GF,1586573981.0,88.0,4.93,-52.33,80.6,2.24
16,shenxian,0.0,CN,1586574072.0,32.0,36.24,115.67,60.66,9.33
17,klaksvik,100.0,FO,1586573981.0,100.0,62.23,-6.59,46.4,6.93
18,albany,40.0,US,1586574053.0,64.0,42.6,-73.97,39.2,14.99
19,barrow,90.0,US,1586574073.0,70.0,71.29,-156.79,-0.4,11.41
20,norman wells,75.0,CA,1586574073.0,36.0,65.28,-126.83,30.2,4.36
21,hilo,90.0,US,1586574073.0,88.0,19.73,-155.09,75.2,4.7
22,saskylakh,86.0,RU,1586574074.0,94.0,71.92,114.08,30.72,20.65
23,faanui,94.0,PF,1586574074.0,70.0,-16.48,-151.75,83.64,5.82
24,tessalit,40.0,ML,1586574074.0,14.0,20.2,1.01,78.96,7.61
25,punta arenas,20.0,CL,1586573984.0,80.0,-53.15,-70.92,41.0,13.87
26,atuona,84.0,PF,1586574075.0,75.0,-9.8,-139.03,82.45,11.34
27,fairbanks,90.0,US,1586574075.0,80.0,64.84,-147.72,37.0,13.87
28,charters towers,82.0,AU,1586574075.0,39.0,-20.1,146.27,87.6,1.92
29,meulaboh,80.0,ID,1586574075.0,68.0,4.14,96.13,84.97,2.93
30,ribeira grande,97.0,PT,1586574076.0,73.0,38.52,-28.7,61.54,4.7
31,porto walter,86.0,BR,1586574076.0,90.0,-8.27,-72.74,73.62,0.56
32,tasiilaq,99.0,GL,1586574076.0,53.0,65.61,-37.64,24.8,2.24
33,tari,98.0,NG,1586574076.0,29.0,12.41,4.49,84.25,5.64
34,labytnangi,100.0,RU,1586574077.0,96.0,66.66,66.42,18.55,17.78
35,oktyabrskiy,28.0,RU,1586574077.0,71.0,54.48,53.47,38.01,9.82
36,sabinas hidalgo,85.0,MX,1586574077.0,74.0,26.5,-100.17,74.95,11.95
37,attawapiskat,,,,,,,,
38,taolanaro,,,,,,,,
39,esna,3.0,EG,1586574078.0,48.0,25.29,32.55,62.6,6.33
40,qaanaaq,43.0,GL,1586574078.0,74.0,77.48,-69.36,4.24,7.7
41,tumannyy,,,,,,,,
42,ushuaia,20.0,AR,1586574061.0,81.0,-54.8,-68.3,41.0,5.82
43,torbay,90.0,CA,1586574079.0,93.0,47.67,-52.73,37.99,14.99
44,provideniya,100.0,RU,1586574079.0,94.0,64.38,-173.3,15.37,13.49
45,constitucion,100.0,CL,1586574080.0,89.0,-35.33,-72.42,54.81,8.86
46,cidreira,7.0,BR,1586574080.0,82.0,-30.18,-50.21,62.73,4.36
47,busselton,51.0,AU,1586573977.0,28.0,-33.65,115.33,89.01,7.25
48,karauzyak,,,,,,,,
49,bluff,1.0,NZ,1586574081.0,49.0,-46.6,168.33,70.0,7.0
50,atar,0.0,MR,1586574081.0,19.0,20.52,-13.05,78.71,10.96
51,mar del plata,0.0,AR,1586574081.0,82.0,-38.0,-57.56,55.4,6.93
52,bandarbeyla,39.0,SO,1586574082.0,70.0,9.49,50.81,79.88,5.88
53,la ronge,90.0,CA,1586574082.0,79.0,55.1,-105.28,24.8,16.11
54,georgetown,20.0,MY,1586573868.0,74.0,5.41,100.34,87.8,6.93
55,severo-kurilsk,52.0,RU,1586574082.0,94.0,50.68,156.12,31.59,4.94
56,key biscayne,75.0,US,1586574082.0,78.0,25.69,-80.16,81.0,8.05
57,koygorodok,95.0,RU,1586574083.0,95.0,60.45,51.0,28.83,5.64
58,akyab,69.0,MM,1586574083.0,64.0,20.15,92.9,84.24,2.77
59,virginia beach,1.0,US,1586574080.0,34.0,36.85,-75.98,53.6,13.87
60,ereymentau,0.0,KZ,1586574083.0,57.0,51.62,73.1,41.36,6.31
61,geraldton,97.0,AU,1586574084.0,55.0,-28.77,114.6,91.0,11.41
62,rikitea,14.0,PF,1586573944.0,74.0,-23.12,-134.97,77.65,9.86
63,susanville,1.0,US,1586574084.0,41.0,40.42,-120.65,60.8,1.92
64,barentsburg,,,,,,,,
65,sao filipe,76.0,CV,1586574051.0,73.0,14.9,-24.5,75.15,8.25
66,arona,75.0,ES,1586574085.0,72.0,28.1,-16.68,70.0,6.93
67,hithadhoo,16.0,MV,1586574085.0,63.0,-0.6,73.08,84.69,8.7
68,mataura,0.0,NZ,1586574085.0,49.0,-46.19,168.86,70.0,7.0
69,kahului,40.0,US,1586574085.0,51.0,20.89,-156.47,80.6,16.11
70,ponta do sol,20.0,PT,1586574086.0,68.0,32.67,-17.1,66.2,11.41
71,mahdasht,90.0,IR,1586574086.0,93.0,35.73,50.81,48.2,13.87
72,longyearbyen,20.0,SJ,1586574086.0,76.0,78.22,15.64,-7.6,5.82
73,louisbourg,,,,,,,,
74,puerto ayora,87.0,EC,1586574086.0,86.0,-0.74,-90.35,80.01,1.52
75,gasa,40.0,PS,1586574087.0,87.0,31.5,34.47,57.2,9.17
76,perbaungan,20.0,ID,1586574087.0,74.0,3.57,98.96,87.8,6.93
77,port hardy,40.0,CA,1586574087.0,70.0,50.7,-127.42,48.2,8.05
78,daru,50.0,PG,1586574088.0,73.0,-9.08,143.21,84.31,8.81
79,cape town,40.0,ZA,1586574071.0,93.0,-33.93,18.42,62.6,10.29
80,saldanha,84.0,ZA,1586574088.0,88.0,-33.01,17.94,62.6,3.36
81,victor harbor,40.0,AU,1586574088.0,42.0,-35.57,138.62,68.0,19.46
82,saint-philippe,39.0,RE,1586574045.0,73.0,-21.36,55.77,77.0,9.17
83,beloha,19.0,MG,1586574089.0,84.0,-25.17,45.05,70.25,13.69
84,nanortalik,100.0,GL,1586574040.0,90.0,60.14,-45.24,32.27,4.52
85,livny,94.0,RU,1586574089.0,78.0,52.43,37.61,35.53,8.81
86,chiredzi,98.0,ZW,1586574089.0,77.0,-21.05,31.67,61.45,1.63
